295,Tony Bennett,1993,1995,G,6-1,175,1-Jun-69,University of Wisconsin-Green Bay
296,Winston Bennett,1990,1992,F,6-7,210,9-Feb-65,University of Kentucky
297,David Benoit,1992,2001,F,6-8,220,9-May-68,University of Alabama
298,Keith Benson,2012,2012,C,6-11,240,13-Aug-88,Oakland University
299,Kent Benson,1978,1988,C,6-10,235,27-Dec-54,Indiana University
300,Ben Bentil,2017,2017,F,6-9,235,29-Mar-95,Providence College
304,Ricky Berry,1989,1989,F,6-8,205,6-Oct-64,San Jose State University
305,Walter Berry,1987,1989,F,6-8,215,14-May-64,St. John's University
306,Davis Bertans,2017,2018,F,6-10,210,12-Nov-92,
308,Travis Best,1996,2005,G,5-11,182,12-Jul-72,Georgia Institute of Technology
309,Patrick Beverley,2013,2018,G,6-1,185,12-Jul-88,University of Arkansas
310,Sim Bhullar,2015,2015,C,7-5,360,2-Dec-92,New Mexico State University
315,Mike Bibby,1999,2012,G,6-1,190,13-May-78,University of Arizona
317,Andris Biedrins,2005,2014,C,6-11,240,2-Apr-86,
321,Chauncey Billups,1998,2014,G,6-3,202,25-Sep-76,University of Colorado
323,Joe Binion,1987,1987,F,6-8,235,26-Mar-61,North Carolina Agricultural and Technical State University
324,Khem Birch,2018,2018,C-F,6-9,220,28-Sep-92,"University of Nevada, Las Vegas"
325,Jabari Bird,2018,2018,G,6-6,197,3-Jul-94,University of California
327,Larry Bird,1980,1992,F,6-9,220,7-Dec-56,Indiana State University
328,Otis Birdsong,1978,1989,G,6-3,190,9-Dec-55,University of Houston
330,Bismack Biyombo,2012,2018,C-F,6-9,255,28-Aug-92,
331,Nemanja Bjelica,2016,2018,F,6-10,240,9-May-88,
332,Uwe Blab,1986,1990,C,7-1,252,26-Mar-62,Indiana University
335,Tarik Black,2015,2018,C-F,6-9,250,22-Nov-91,University of Kansas
337,Rolando Blackman,1982,1994,G,6-6,190,26-Feb-59,Kansas State University
338,Alex Blackwell,1993,1993,F,6-6,250,27-Jun-70,Monmouth University
339,Cory Blackwell,1985,1985,F,6-6,210,27-Mar-63,University of Wisconsin
340,James Blackwell,1995,1995,G,6-1,190,25-Feb-68,Dartmouth College
341,Nate Blackwell,1988,1988,G,6-4,170,15-Feb-65,Temple University
